,meanTumor,meanControl,Pvalue,Log2FC
0,0.9318421028732894,0.6781231834159654,0.24870756535559096,0.25371891945732394
1,2.5296078608007475,2.425669439457709,0.8524200383236822,0.10393842134303855
2,0.19719695645058852,0.03104162051165717,0.04775056324952201,0.16615533593893134
3,0.0,0.0,,0.0
4,0.0,0.0,,0.0
5,0.0,0.0,,0.0
6,0.0,0.0,,0.0
7,0.0,0.03104162051165717,0.373900966300059,-0.03104162051165717
8,0.0,0.0,,0.0
9,0.0,0.12171824655828255,0.214713113180755,-0.12171824655828255
10,0.0,0.0,,0.0
11,0.16456395985714703,0.028593385023311043,0.1944779524384071,0.13597057483383598
12,0.4555369262876239,0.1893490186064507,0.3574235196196338,0.2661879076811732
13,0.2111182240376973,0.08578015506993314,0.5200077630331872,0.12533806896776417
14,0.0,0.032890797519941777,0.3739009663000589,-0.032890797519941777
15,1.1428169128321446,0.537005435307695,0.2962992740364565,0.6058114775244496
16,0.0,0.0,,0.0
17,0.0,0.0,,0.0
18,0.6640745614936666,0.12726577758313637,0.05760681351824321,0.5368087839105302
19,4.830334628776842,6.03523949477064,0.13048206662883274,-1.2049048659937984
20,0.07557841129648274,0.032890797519941777,0.44875658863687223,0.04268761377654096
21,0.16456395985714703,0.3372124146996982,0.11350744930847707,-0.17264845484255117
22,0.0,0.0,,0.0
23,0.0,0.0,,0.0
24,0.0,0.0,,0.0
25,1.8989717420410568,0.9935398626454296,0.29130202634290564,0.9054318793956272
26,0.0,0.0,,0.0
27,0.0,0.0,,0.0
28,0.0,0.0,,0.0
29,0.0,0.0,,0.0
30,0.07196956181897375,0.0,0.11955599576533144,0.07196956181897375
31,0.12161854515410579,0.06208324102331434,0.5538281093257884,0.05953530413079145
32,0.0,0.0,,0.0
33,0.0,0.0,,0.0
34,6.543820809366849,6.7753939176418205,0.799571537398649,-0.23157310827497124
35,2.072078426873779,1.9156985976580216,0.5934229516766676,0.15637982921575722
36,0.0,0.0,,0.0
37,0.114914976522015,0.032890797519941777,0.07401733894591273,0.08202417900207323
38,0.0,0.0,,0.0
39,13.566665348672766,8.789676331303369,0.22495508943762169,4.776989017369397
40,0.33133779230186344,0.4035930682196432,0.6350923508912506,-0.07225527591777975
41,0.0,0.0,,0.0
42,0.0,0.0,,0.0
43,0.111306127044506,0.03104162051165717,0.345784034715525,0.08026450653284883
44,4.4469945664734345,4.081288950924605,0.6819443129146897,0.36570561554882985
45,0.07196956181897375,0.03104162051165717,0.4408085194535001,0.040927941307316584
46,0.0,0.0,,0.0
47,10.034670124060826,6.1956527412927,0.2851490993013941,3.8390173827681258
48,0.0,0.0,,0.0
49,5.979039726883524,7.872044163468105,0.3944755475330132,-1.8930044365845804
50,2.3989964740005036,1.3380449822420661,0.16188659867336935,1.0609514917584375
51,22.482249014389424,23.42583838532215,0.8369841020447837,-0.9435893709327274
52,0.5740607522871478,0.33291500220306747,0.2895825507336642,0.24114575008408035
53,0.15425154174754727,0.03104162051165717,0.0772669257490334,0.1232099212358901
54,0.0,0.028593385023311043,0.3739009663000589,-0.028593385023311043
55,0.03933656522553226,0.0,0.3739009663000589,0.03933656522553226
56,0.0,0.0,,0.0
57,0.0,0.5416115207914062,0.14245362430960537,-0.5416115207914062
58,0.0,0.0,,0.0
59,0.03933656522553226,0.0,0.3739009663000589,0.03933656522553226
60,0.45965990608806,0.3829954497095321,0.689572778843703,0.07666445637852792
61,26.621838221223076,26.481564971646126,0.9691049225907091,0.14027324957694987
62,7.382109716765572,8.735399138014953,0.29815546529154413,-1.3532894212493813
63,0.3840814947915773,0.4097396577245586,0.8582909112330748,-0.025658162932981288
64,0.0,0.0,,0.0
65,0.2039005250826793,0.09252580305490998,0.3516387238756208,0.11137472202776932
66,1.8195571791018221,2.748791499707392,0.18435464146411765,-0.92923432060557
67,29.234978077896727,25.77370514872902,0.6919346800579209,3.4612729291677056
68,0.0,0.0,,0.0
69,0.3773779261594865,0.4017438912113587,0.8562099367387699,-0.024365965051872163
70,5.077471884380169,3.5435101649384486,0.3431346502475797,1.5339617194417206
71,0.0,0.0,,0.0
72,1.4535298689148082,3.3227251371911595,0.26894976715071345,-1.8691952682763513
73,0.1180096956765968,0.21979158063804638,0.5310496568872717,-0.10178188496144958
74,0.04294541470304126,0.032890797519941777,0.8615884689617179,0.010054617183099482
75,10.43068134069734,10.395129679621698,0.9688162059735732,0.035551661075642116
76,0.47616176250682335,0.15460904407822432,0.2775989414699733,0.321552718428599
77,0.16146924070256527,0.03104162051165717,0.33853456071921556,0.1304276201909081
78,0.03933656522553226,0.0,0.3739009663000589,0.03933656522553226
79,0.0,0.0,,0.0
80,0.03933656522553226,0.0,0.3739009663000589,0.03933656522553226
81,0.03933656522553226,0.05963500553496822,0.7022388685204412,-0.020298440309435957
82,0.07557841129648274,0.0,0.12346884104761476,0.07557841129648274
83,0.26968064859248947,0.21914052058988476,0.8353316061724373,0.05054012800260471
84,2.6374485524465867,2.7013793841200546,0.9591556625632148,-0.06393083167346791
85,2.3939886476330554,2.5015343619439583,0.8697347223531325,-0.10754571431090287
86,55.91815337456736,64.68243798807136,0.09522183087448402,-8.764284613503996
87,19.120612109605748,20.603596960050172,0.4584441153090307,-1.4829848504444243
88,0.9921742205621062,0.1521608085898782,0.09970923213952862,0.840013411972228
89,0.5160124580552828,0.25143225962976506,0.22081618490012564,0.2645801984255178
90,43.303834951105024,39.74581989821659,0.47540747387877835,3.558015052888436
91,0.9255092504852837,1.2003352026573837,0.5093664621094158,-0.27482595217210004
